iter	Logloss
0	0.6869243435
1	0.6801685144
2	0.6749164681
3	0.6714910612
4	0.6654880188
5	0.6588881406
6	0.6530268759
7	0.6476229848
8	0.6431961193
9	0.6373724972
10	0.631921724
11	0.6270857264
12	0.6240287553
13	0.6192588577
14	0.6143890052
15	0.6107632181
16	0.6054661915
17	0.6005414636
18	0.5969288327
19	0.5929768082
20	0.5883159277
21	0.5840588201
22	0.580166772
23	0.5759940753
24	0.5725354447
25	0.5681262714
26	0.564510498
27	0.5609128519
28	0.5573881631
29	0.5542700139
30	0.550996921
31	0.5480422059
32	0.5461340145
33	0.5437288523
34	0.5406813406
35	0.5379235846
36	0.5358525299
37	0.5335982647
38	0.5305023606
39	0.5287992657
40	0.5257127595
41	0.5221693656
42	0.519219843
43	0.5166536603
44	0.5139059507
45	0.5109309632
46	0.5085691112
47	0.5062743299
48	0.5040010635
49	0.5017018432
50	0.4993700557
51	0.4974406097
52	0.4947412374
53	0.4926782651
54	0.4905214726
55	0.4888608363
56	0.4866704843
57	0.485126002
58	0.4832465649
59	0.4811947855
60	0.4790436211
61	0.4768347626
62	0.4752750044
63	0.4737542471
64	0.47161068
65	0.4699787034
66	0.4685243056
67	0.4668301443
68	0.4649910385
69	0.4632714188
70	0.4616161668
71	0.4606384723
72	0.4591586153
73	0.4576720021
74	0.4561460656
75	0.4552500088
76	0.4540424517
77	0.4526246909
78	0.4519864903
79	0.4505151606
80	0.4490655605
81	0.4481567521
82	0.4468469695
83	0.4452796689
84	0.4437385904
85	0.4432281457
86	0.4423788704
87	0.4413915323
88	0.4403808876
89	0.4393532681
90	0.4380096563
91	0.4368233882
92	0.4359839477
93	0.4347786029
94	0.4337506283
95	0.4328933967
96	0.4319086905
97	0.4309191723
98	0.4299355664
99	0.4288579784
100	0.4280623029
101	0.4266919924
102	0.4253377622
103	0.4244802283
104	0.4237702992
105	0.4230254579
106	0.422117901
107	0.4212746638
108	0.4204850682
109	0.4201367536
110	0.4192694454
111	0.4183372139
112	0.4178151515
113	0.416904106
114	0.4159753674
115	0.4151132798
116	0.414455068
117	0.4140278005
118	0.4130770669
119	0.4124052639
120	0.4117782889
121	0.4110726729
122	0.4103683451
123	0.4095980649
124	0.4091583053
125	0.4082452405
126	0.4078206165
127	0.4070461243
128	0.4067574954
129	0.4065631489
130	0.4059127001
131	0.4052194567
132	0.4044658973
133	0.4042875174
134	0.4037158402
135	0.4029239388
136	0.4022366488
137	0.4019316944
138	0.4012105072
139	0.4010534032
140	0.4002755387
141	0.3996891247
142	0.3991259912
143	0.3985899061
144	0.3981125469
145	0.3975133858
146	0.3970651031
147	0.396903889
148	0.3962952942
149	0.3959573437
150	0.3952105373
151	0.3948639059
152	0.3944821684
153	0.394088587
154	0.3934587105
155	0.3929995425
156	0.3925197562
157	0.3919370761
158	0.3915912992
159	0.3909540904
160	0.3904234682
161	0.390265426
162	0.3898333952
163	0.3896620417
164	0.389070577
165	0.388844599
166	0.388434459
167	0.3880858717
168	0.3878224816
169	0.3873303673
170	0.386924981
171	0.3865224546
172	0.3862656318
173	0.3857801099
174	0.3856075053
175	0.3851869429
176	0.3847980276
177	0.3844518493
178	0.3840620511
179	0.3836799246
180	0.383201351
181	0.3828807308
182	0.3824273964
183	0.3820919514
184	0.3817912707
185	0.3814047744
186	0.3810463217
187	0.3807860103
188	0.380304785
189	0.3800779243
190	0.3796831876
191	0.3793307278
192	0.3787147157
193	0.3783034905
194	0.3779073851
195	0.3775779228
196	0.3770645344
197	0.3768881608
198	0.3764006252
199	0.3761603326
200	0.3761105323
201	0.3757586317
202	0.3754935387
203	0.3751285518
204	0.3748262863
205	0.3744655004
206	0.3742074613
207	0.3741050754
208	0.3739089752
209	0.373675407
210	0.3733916877
211	0.3732007814
212	0.3728346056
213	0.3725213289
214	0.3722371764
215	0.3719756275
216	0.371730563
217	0.3714433499
218	0.3711175203
219	0.3707985822
220	0.3704899912
221	0.3702581882
222	0.3701239258
223	0.369804386
224	0.369590198
225	0.3691056993
226	0.368819032
227	0.3683913213
228	0.3683153017
229	0.3680367296
230	0.3677227882
231	0.3673620372
232	0.3671025482
233	0.3667668645
234	0.3665574879
235	0.3662669004
236	0.3659672
237	0.3658291636
238	0.3657003274
239	0.3654664813
240	0.3651662645
241	0.364950045
242	0.3648121642
243	0.364693467
244	0.3645482395
245	0.3640706221
246	0.3638459697
247	0.3636138622
248	0.363248689
249	0.3630485092
250	0.3629413914
251	0.3627596718
252	0.3625577112
253	0.3624986678
254	0.3622814299
255	0.3620807458
256	0.3618798976
257	0.3616345921
258	0.3615475151
259	0.3613331163
260	0.3612473105
261	0.3609534866
262	0.3608763524
263	0.3606042376
264	0.360301548
265	0.3601117767
266	0.3599962704
267	0.3596858707
268	0.3594385371
269	0.3592834957
270	0.3591389177
271	0.3589505082
272	0.3587447672
273	0.358582598
274	0.3584558208
275	0.3581507436
276	0.3578747853
277	0.3576453289
278	0.3573832248
279	0.3573377852
280	0.3570985533
281	0.3569619362
282	0.3568258536
283	0.3567769312
284	0.3564681135
285	0.3563864949
286	0.35622549
287	0.3559544253
288	0.3557972177
289	0.3556216889
290	0.3554092554
291	0.3552795362
292	0.3551642853
293	0.3549684147
294	0.3546620991
295	0.3544374573
296	0.3542978005
297	0.3540783448
298	0.3539281016
299	0.3537627566
300	0.3537191234
301	0.3536166222
302	0.3533430788
303	0.3531970555
304	0.3530351812
305	0.3528699057
306	0.3525884606
307	0.3524285769
308	0.3521173752
309	0.3519388159
310	0.3517929148
311	0.3516846825
312	0.3515330297
313	0.3512663693
314	0.3509303775
315	0.3508086342
316	0.350674287
317	0.3504473796
318	0.3503439732
319	0.3500756768
320	0.3498854616
321	0.3497666598
322	0.349677927
323	0.3494713118
324	0.3493579075
325	0.3492272556
326	0.3491550228
327	0.3489532143
328	0.3488199514
329	0.348617635
330	0.348428621
331	0.348275439
332	0.3481255575
333	0.3478930895
334	0.3478374491
335	0.347560918
336	0.3473444574
337	0.3472292134
338	0.3470994986
339	0.3469572981
340	0.3468954402
341	0.3467569071
342	0.3466192469
343	0.3465078669
344	0.3462604943
